requirement_id,screen_id,screen_name,flow,route,user_role,screen_state,priority,stitch_folder,reference_png,reference_html,pdf_page,source_document,existing_component,target_component,implementation_file,visual_test,e2e_test,accessibility_test,status,notes
SCR-001,splash,스플래시,auth,/capture/splash,user,initial,P0,stitch_salary_hijacking_design_system/_10,docs/design/stitch/2026-07-16/screens/splash.png,docs/design/stitch/2026-07-16/html/splash.html,1,Stitch/PDF,앱 진입,SplashLaunchScreen,apps/mobile/src/features/auth/components/SplashLaunchScreen.tsx,release/evidence/mobile-ui/01_splash.png,apps/mobile/src/features/auth/__tests__/login.screen-wiring.test.ts,apps/mobile/src/features/preview/__tests__/reference-screen-copy.test.tsx,PASS,Visual evidence exists; native device cold start still blocked.
SCR-002,login,로그인,auth,/(auth)/login,user,default,P0,stitch_salary_hijacking_design_system/_8,docs/design/stitch/2026-07-16/screens/login.png,docs/design/stitch/2026-07-16/html/login.html,2,Stitch/PDF,LoginHero/LoginCredentialForm,LoginHero/LoginCredentialForm,apps/mobile/src/features/auth/components/LoginHero.tsx,release/evidence/mobile-ui/02_login.png,apps/mobile/src/features/auth/__tests__/login.screen-wiring.test.ts,apps/mobile/src/features/auth/__tests__/login.components.test.tsx,PASS,Social entry points remain credential-gated; no fake provider success.
SCR-003,signup,회원가입,auth,/(auth)/signup,user,default,P0,stitch_salary_hijacking_design_system/_14,docs/design/stitch/2026-07-16/screens/signup.png,docs/design/stitch/2026-07-16/html/signup.html,,Stitch,SignupHero/SignupForm,SignupHero/SignupForm,apps/mobile/src/features/auth/components/SignupForm.tsx,release/evidence/mobile-ui/03_signup.png,apps/mobile/src/features/auth/__tests__/signup.screen-wiring.test.ts,apps/mobile/src/features/auth/__tests__/signup.components.test.tsx,PASS,Terms distinction must remain verified in deeper traceability pass.
SCR-004,onboarding,초기 급여 설정,onboarding,/onboarding,user,first-entry,P0,,,"",,Feature docs,Onboarding route,Onboarding screen,apps/mobile/app/onboarding.tsx,release/evidence/mobile-ui/04_onboarding.png,,apps/mobile/src/shared/api/__tests__/app-screen-contract.test.ts,PARTIAL,Route/evidence exists; full payroll setup flow E2E still required.
SCR-005,salary-home,급여 홈,salary,/(tabs)/salary,user,data,P0,stitch_salary_hijacking_design_system/_10,docs/design/stitch/2026-07-16/screens/salary-home.png,docs/design/stitch/2026-07-16/html/salary-home.html,3-4,Stitch/PDF,SalaryHomeScreen,SalaryHeroCard/SalaryMetricGrid,apps/mobile/src/features/salary/components/SalaryHomeScreen.tsx,release/evidence/mobile-ui/05_salary_home.png,apps/mobile/src/features/salary/__tests__/salary.screen-wiring.test.ts,apps/mobile/src/features/salary/__tests__/salary.components.test.tsx,PARTIAL,Visual PASS; release gap still marks salary home PARTIAL.
SCR-006,expense-edit,지출 추가·수정,salary,/(tabs)/salary?focus=daily-budget,user,form,P0,stitch salary daily budget state,docs/design/stitch/2026-07-16/screens/salary-home.png,docs/design/stitch/2026-07-16/html/salary-home.html,4,Feature docs,VariableExpenseQuickAdd,VariableExpenseQuickAdd,apps/mobile/src/features/salary/components/VariableExpenseQuickAdd.tsx,release/evidence/mobile-ui/06_daily_budget.png,apps/mobile/src/features/salary/__tests__/salary.launch-readiness.test.tsx,apps/mobile/src/features/salary/__tests__/salary.components.test.tsx,PARTIAL,Visual/input tests exist; physical keyboard/safe-area proof still blocked.
SCR-007,notifications,알림,notifications,/notifications,user,list,P1,stitch_salary_hijacking_design_system/_5,docs/design/stitch/2026-07-16/screens/notifications.png,docs/design/stitch/2026-07-16/html/notifications.html,5,Stitch/PDF,NotificationScreen,NotificationList/NotificationSummaryCard,apps/mobile/src/features/notifications/components/NotificationScreen.tsx,release/evidence/mobile-ui/08_notifications.png,apps/mobile/src/features/notifications/__tests__/notifications.screen-wiring.test.ts,apps/mobile/src/features/notifications/__tests__/notifications.components.test.tsx,PASS,Bottom tab is intentionally absent on notification stack.
SCR-008,plan,계획,plan,/(tabs)/plan,user,data,P0,stitch_salary_hijacking_design_system/_9,docs/design/stitch/2026-07-16/screens/plan-settings.png,docs/design/stitch/2026-07-16/html/plan-settings.html,6,Stitch/PDF,PlanScreen,PlanProgressCard/PlanBreakdownSection,apps/mobile/src/features/plan/components/PlanScreen.tsx,release/evidence/mobile-ui/07_plan_setting.png,apps/mobile/src/features/plan/__tests__/plan.screen-wiring.test.ts,apps/mobile/src/features/plan/__tests__/plan.components.test.tsx,PARTIAL,Visual PASS; release gap still marks Plan PARTIAL.
SCR-009,fixed-expense-form,고정지출 폼,plan,/plan fixed expense state,user,modal-form,P1,,,"",6,Feature docs,PlanBreakdownSection,PlanBreakdownSection,apps/mobile/src/features/plan/components/PlanBreakdownSection.tsx,,apps/mobile/src/features/plan/__tests__/plan.api.test.ts,apps/mobile/src/features/plan/__tests__/plan.components.test.tsx,PARTIAL,Needs explicit modal/state visual evidence.
SCR-010,fixed-saving-form,고정저축 폼,plan,/plan fixed saving state,user,modal-form,P1,,,"",6,Feature docs,PlanBreakdownSection,PlanBreakdownSection,apps/mobile/src/features/plan/components/PlanBreakdownSection.tsx,,apps/mobile/src/features/plan/__tests__/plan.api.test.ts,apps/mobile/src/features/plan/__tests__/plan.components.test.tsx,PARTIAL,Needs explicit modal/state visual evidence.
