METHOD,PATH,DOMAIN,REQ_ID,AUTH_REQUIRED,ROLE_PERMISSION,OWNERSHIP_RULE,REQUEST_SCHEMA,RESPONSE_SCHEMA,SUCCESS_STATUS,ERROR_CODES,RATE_LIMIT,DB_TABLES,AUDIT_EVENT,CURRENT_IMPLEMENTATION_PATH,CONSUMERS,PHASE_3_STATUS,PHASE_3_EVIDENCE
GET,/admin/api/v1/dashboard,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
GET,/admin/api/v1/users,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
GET,/admin/api/v1/users/{userId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
POST,/admin/api/v1/users/{userId}/suspend,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
POST,/admin/api/v1/users/{userId}/restore,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
POST,/admin/api/v1/users/{userId}/force-logout,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
GET,/admin/api/v1/users/{userId}/activity-summary,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
GET,/admin/api/v1/community/posts,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
GET,/admin/api/v1/community/posts/{postId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
POST,/admin/api/v1/community/posts/{postId}/hide,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PARTIAL_RBAC_TEST_PASS_MFA_RUNTIME_UNVERIFIED,Local route/repository contract tests PASS where named; staging full account lifecycle E2E not executed in Phase 3.
