ROUTE,SCREEN,REQ_IDS,COMPONENT,API_CLIENT,ENDPOINT,SERVER_AUTHORITY,MOCK,FALLBACK,LOADING,EMPTY,ERROR,OFFLINE,PERMISSION,VALIDATION,SESSION_REQUIRED,DEEPLINK,A11Y,RUNTIME_STATUS,GAP
/,splash,AUTH-003; AUTH-007,apps/mobile/app/index.tsx,navigation/bootstrap,bootstrap/session/onboarding,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,NO_OR_BOOTSTRAP,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/(auth)/login,auth login,AUTH-002; AUTH-003,apps/mobile/app/(auth)/login.tsx,canonical mobile API client,login/refresh/session,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,NO_OR_BOOTSTRAP,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/(auth)/signup,auth signup,AUTH-001; AUTH-011,apps/mobile/app/(auth)/signup.tsx,canonical mobile API client,register/consent,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,NO_OR_BOOTSTRAP,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/(auth)/forgot-password,password reset request,AUTH-005,apps/mobile/app/(auth)/forgot-password.tsx,canonical mobile API client,password reset,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,NO_OR_BOOTSTRAP,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/(auth)/reset-password,password reset confirm,AUTH-005,apps/mobile/app/(auth)/reset-password.tsx,canonical mobile API client,password reset,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,NO_OR_BOOTSTRAP,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/(auth)/verify-email,email verification,AUTH-001,apps/mobile/app/(auth)/verify-email.tsx,canonical mobile API client,email verification,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,NO_OR_BOOTSTRAP,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/auth/oauth/callback,oauth callback,AUTH-006,apps/mobile/app/auth/oauth/callback.tsx,canonical mobile API client,oauth callback,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/onboarding,onboarding,AUTH-007; PROF-004,apps/mobile/app/onboarding.tsx,canonical mobile API client,bootstrap/onboarding,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,YES,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/salary,salary home,HOME-001; HOME-002; HOME-003; HOME-004; HOME-005; HOME-006,apps/mobile/app/(tabs)/salary/index.tsx,canonical mobile API client,salary summary,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,YES,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
/plan,plan/budget,PAY-001; BUD-001; EXP-001; SAV-001,apps/mobile/app/(tabs)/plan/index.tsx,canonical mobile API client,payroll/plan/budget,YES,NO,NO_PRODUCTION_SUCCESS_FALLBACK,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,N/A,INHERITED_COMPONENT_A11Y,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL,current-source Android/emulator runtime remains separate external track
