METHOD,PATH,DOMAIN,REQ_ID,AUTH_REQUIRED,ROLE_PERMISSION,OWNERSHIP_RULE,REQUEST_SCHEMA,RESPONSE_SCHEMA,SUCCESS_STATUS,ERROR_CODES,IDEMPOTENCY_REQUIRED,CONCURRENCY_POLICY,RATE_LIMIT,PAGINATION,DB_TABLES,AUDIT_EVENT,CURRENT_IMPLEMENTATION_PATH,CONSUMERS,STATUS
GET,/admin/api/v1/dashboard,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/users,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/users/{userId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/users/{userId}/suspend,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/users/{userId}/restore,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/users/{userId}/force-logout,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/users/{userId}/activity-summary,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/community/posts,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,CURSOR_DEFAULT_20_MAX_100,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
GET,/admin/api/v1/community/posts/{postId},ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,200,ERROR_TAXONOMY_FINAL,NO,READ_CONSISTENCY,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
POST,/admin/api/v1/community/posts/{postId}/hide,ADMIN,ADMIN-PHASE1,YES,ADMIN_RBAC_OR_MFA,SERVER_RBAC_PERMISSION,PHASE1_SCHEMA_CONTRACT_REQUIRED,STANDARD_API_ENVELOPE_FINAL,201_OR_200,ERROR_TAXONOMY_FINAL,YES,TRANSACTION_OR_IDEMPOTENCY_OR_OPTIMISTIC_VERSION,AUTH_MIDDLEWARE_RATE_LIMIT_POLICY,N/A,PHASE2_DB_MAPPING_REQUIRED,AUDIT_OR_DOMAIN_EVENT_REQUIRED,services/api/src/routes/admin.routes.ts,apps/admin,PASS_CONTRACT_FROZEN_IMPLEMENTATION_VERIFICATION_LATER
