relativePath,category,archiveExists,currentExists,byteIdentical,archiveSha256,currentSha256,decision,action,evidence
.gitignore,repo-config,true,true,false,1e2fecc75cdd3c0f4161356c1490ee431dff94bbc779e3a34cc9359ce8ef0a49,18953b290cfb19844d546d8f3261726a987b8e2bee0881a20bda4400a4978ecf,CURRENT_ACCEPTED,"Keep the current platform ignore policy. The current file adds local-only exclusions for consolidated attachments, merge archives, generated QA dumps, release/evidence dumps, and local Android evidence without removing source tracking requirements.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/.gitignore .gitignore,corepack pnpm run clean:junk,git diff --check"
.prettierignore,repo-config,true,true,false,82ed2f6e2e1b712a96b98759a2f614806b704a003356236994c76be4ef95e0cc,8a9d74e15ebbd96d90d6d587e6be016b61055453c69eadb8ab660a5b830dbb83,CURRENT_ACCEPTED,Keep the current platform formatting ignore policy. It preserves the archive as a historical non-runtime comparison input while source files remain formatted through targeted checks.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/.prettierignore .prettierignore,corepack pnpm exec prettier --write targeted files,git diff --check"
100_PERCENT_READINESS.md,docs-evidence,true,false,false,719e26f8dd43a332f018313284ba4862c8edd47134d4608be3c24124d4138dea,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
COMPLETION_REPORT.md,docs-evidence,true,false,false,c1c9bb209ee0c534a403e55c787df7c7169871fecd0cf9f029d8b35a5e797461,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
package.json,repo-config,true,true,false,9a6f949218436c25cbd8c10b990dfcdd1defdb33590097761280b3aab23b33e0,544f085dd5a5d7a1f09d16e3e37e3a2d1b68b0211c0e013aac067b08c8b75249,CURRENT_ACCEPTED,Keep the current root package manifest. It is a verified superset for the current release workflow and adds the mobile preview phone proof script required by the physical-device QA gate.,"node --test scripts/release/check-release-readiness.test.mjs,corepack pnpm run check:package-manager-scripts,corepack pnpm run clean:junk"
pnpm-lock.yaml,repo-config,true,true,false,a5ee230304007752052b8f530358a14950a0f6964ee31a36c2d8b815a2eaa993,ce63fc4484c77e77dcf59ba1b476f33001185622376314b2dc67ab3bab0a5a1b,CURRENT_ACCEPTED,Keep the current lockfile because it matches the current package manifests and has passed frozen install and security audit evidence in this consolidated platform workspace.,"corepack pnpm install --frozen-lockfile,corepack pnpm audit --audit-level=high --prod=false --json,release/security-audit-evidence.json"
services/api/tests/growth-db-repository.test.ts,backend-source,true,true,false,dd2745e45da18c7c304e0f859dc22a9a95d61c70316c7fe9eaa53d7de2bf1302,42761469724bc44df4608e7656b6cb4e793061ec31bd53fadcd0683ea535b41e,CURRENT_ACCEPTED,"Keep the current Growth DB repository test. It asserts the SQL selects `saved_progress.newly_completed` and allows the replay fixture to rely on `idempotent_replay`, matching the hardened repository behavior.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/services/api/tests/growth-db-repository.test.ts services/api/tests/growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api test -- growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api exec vitest run tests/growth-db-repository.test.ts"
services/api/src/repositories/growth.repository.ts,backend-source,true,true,false,4913bd20957423e24fd5b16a7ffd39b9844f1af213f947253964df5f3d483565,84f514c9be449f4fd706c046a66bf2544b3caccab34b7183a19c5d1eb93b3d79,CURRENT_ACCEPTED,"Keep the current Growth repository. It supersedes the archive copy by selecting `saved_progress.newly_completed` and treating either explicit idempotent replay or `newly_completed === false` as zero-XP replay, preventing duplicate LV UP content rewards when replay metadata is partial.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/services/api/src/repositories/growth.repository.ts services/api/src/repositories/growth.repository.ts,corepack pnpm --filter @salary-hijacking/api test -- growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api exec vitest run tests/growth-db-repository.test.ts"
scripts/release/capture-mobile-clean-fintech-screenshots.mjs,release-script,true,true,false,6a877d1fe35c87ab0f15e24ff2c458d59eba006deefecb0e4783591fa8c305b5,092b6640dddf15906efbf8e4fb43f3d34c4f718e71293c0a6f8549fe6f00e682,CURRENT_ACCEPTED,Keep the current screenshot capture script. It is a verified superset of the archive version and adds 320-430px responsive overflow checks plus deterministic 17-screen mobile UI evidence capture.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/scripts/release/capture-mobile-clean-fintech-screenshots.mjs scripts/release/capture-mobile-clean-fintech-screenshots.mjs,node --test scripts/release/capture-mobile-clean-fintech-screenshots.test.mjs,node scripts/release/capture-mobile-clean-fintech-screenshots.mjs"
scripts/release/check-release-readiness.mjs,release-script,true,true,false,24b21ff22f7b5c8c61f6d2c78aafc35c8b15aedc171df6d4450093019cb98b13,fbbc412fbbdf6ef2dff0d66b7a0302146ac389eeb7f5230df9ce186657c97556,CURRENT_ACCEPTED,"Keep the current release readiness gate. It supersedes the archive version with current-head preview APK evidence, physical phone proof checks, strict-mode blockers, CleanFintech fallback detection, mock-only production path detection, and mobile runtime TODO/FIXME blocking.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/scripts/release/check-release-readiness.mjs scripts/release/check-release-readiness.mjs,node --test scripts/release/check-release-readiness.test.mjs,node scripts/release/check-release-readiness.mjs --soft"
