TABLE_NAME,TABLE_PURPOSE,DOMAIN,OWNER_ROLE,USER_OWNED,PK,FK_SUMMARY,UNIQUE_CONSTRAINTS,CHECK_CONSTRAINTS,INDEXES,MONEY_COLUMNS,STATUS_COLUMNS,RLS_ENABLED,FORCE_RLS,POLICY_COUNT,DATA_CLASSIFICATION,RETENTION_RULE,MIGRATION_INTRODUCED_BY,CURRENT_SCHEMA_HASH,RELATED_REQ_IDS,NOTES
ad_campaigns,Ads campaign configuration and delivery limits,ADS,neondb_owner,NO,ad_campaign_id,fk=5,unique=0,check=21,indexes=5,cost_per_click_krw;cost_per_conversion_krw;fixed_fee_krw;total_impression_cap,status,YES,NO,2,COMMERCIAL_ANALYTICS,campaign retention policy pending,0004_admin_audit_ads.sql,3E0955C8275C1CD95CDBD2AC265F1E3CB501C75DF4CB16F5B150F8E15E569004,ADS;ADMIN,
ad_events,Ad impression/click/conversion event log,ADS,neondb_owner,YES,ad_event_id,fk=2,unique=request_once,check=7,indexes=6,,event_type,YES,YES,3,COMMERCIAL_ANALYTICS,aggregate/anonymize pending,0004_admin_audit_ads.sql,BD063666497A8D2AF8CD7A78955676C79E3CD1014A80E4D97646CF49887FD24D,ADS;ANL,
admin_audit_logs,Privileged admin operation audit trail,ADMIN,neondb_owner,NO,admin_audit_log_id,fk=1,unique=0,check=10,indexes=6,,action,YES,NO,2,AUDIT,audit retention/legal hold policy required,0004_admin_audit_ads.sql,ED94BC0A87ECE8FC92B41C3FCFC1CB2338612A585644E01E3EA2A67FCE535C4B,ADMIN;SEC,
admin_role_members,Admin RBAC role assignment membership,ADMIN,neondb_owner,YES,admin_role_member_id,fk=4,unique=active role/user partial index,check=3,indexes=4,,status,YES,YES,1,PII,role history retention pending,0004_admin_audit_ads.sql,90B403CCCA5C8AC7ED55627DA8921F42C1A07138CBCC6848FC0926CCCDF1F6C5,ADMIN;SEC,
admin_roles,Admin role catalog,ADMIN,neondb_owner,NO,admin_role_id,fk=0,unique=role_key,check=3,indexes=2,,role_key,YES,NO,1,INTERNAL,retain while role model active,0004_admin_audit_ads.sql,63D7A28ECBDA8A2CFB537CC1C1DC00BC5F97326FDA6904055A19C99463C1B43F,ADMIN;SEC,
attachments,Upload metadata and object ownership,OPS,neondb_owner,NO,attachment_id,fk=1,unique=0,check=8,indexes=4,,status,YES,NO,3,USER_CONTENT,orphan cleanup/retention pending,0010_uploads_runtime_metadata.sql,A91AFF9B177F909B256C89E96DC22098AB6807D1BEF98D0D1EA2AD40E77D6493,WRITE;OPS,
auth_credentials,Credential hashes and auth metadata,AUTH,neondb_owner,YES,credential_id,fk=4,unique=0,check=4,indexes=3,,status,YES,YES,2,CREDENTIAL_SECRET,delete/revoke on withdrawal,0005_auth_runtime.sql,901DC1A41C971BBCCE2A5BDBCB83F24329754B3ACFDBD7C06885982BA1477710,AUTH;SEC,
auth_email_verifications,Email verification tokens,AUTH,neondb_owner,YES,verification_id,fk=1,unique=token_hash,check=2,indexes=3,,status,YES,YES,1,CREDENTIAL_SECRET,expire and cleanup,0005_auth_runtime.sql,8EA005D94B761E2F0784AFD6CCD6B5BDFBBBD7E37E42965B9D786A7550157868,AUTH,
auth_identities,Provider identities for auth,AUTH,neondb_owner,YES,identity_id,fk=1,unique=provider/provider_user_key,check=4,indexes=4,,provider,YES,YES,1,PII,delete/anonymize on withdrawal,0001_init_users.sql,2618CCDB0C2599F6947316C481F23DA4412E8E5818CE9BB86234FFF14C08EEAD,AUTH,
auth_oauth_states,OAuth state and PKCE nonce records,AUTH,neondb_owner,NO,state,fk=0,unique=primary key,check=4,indexes=2,,state,YES,NO,1,CREDENTIAL_SECRET,short TTL cleanup,0005_auth_runtime.sql,55CA0817F410B324E6A3BD656B9BBF5E6C5D1D3510A28624517677D1D2549FBB,AUTH;SEC,
auth_password_resets,Password reset token records,AUTH,neondb_owner,YES,reset_id,fk=1,unique=token_hash,check=2,indexes=3,,status,YES,YES,1,CREDENTIAL_SECRET,short TTL cleanup,0005_auth_runtime.sql,96226357EB42223285C5DE97B082971F84016BEB299FDA84A037264DBC163503,AUTH,
auth_sessions,Refresh/session records,AUTH,neondb_owner,YES,session_id,fk=4,unique=active refresh hash,check=5,indexes=3,,status,YES,YES,2,CREDENTIAL_SECRET,revoke/expire cleanup,0005_auth_runtime.sql,A4A2AD95D7FD6ECF432FC670729BC7140D1335C6A49F6DBBE47F9DD5F6F8806E,AUTH;SEC,
community_comments,Community comments,COMMUNITY,neondb_owner,YES,comment_id,fk=3,unique=0,check=5,indexes=4,,status,YES,YES,4,USER_CONTENT,soft delete/moderation retention,0003_growth_community_notifications.sql,8021A45C888B529D5D69B498087B124DB5653E1932B9F9BB3FD592FDA22ACFFA,COM,
community_posts,Community posts,COMMUNITY,neondb_owner,YES,post_id,fk=1,unique=0,check=7,indexes=5,,status,YES,YES,4,USER_CONTENT,soft delete/moderation retention,0003_growth_community_notifications.sql,144485D7DD679CF9BADBFA6CA20856AF095AC1F3843F736476A6E731DCCDF5E3,COM;WRITE,
community_reactions,Community reactions/likes,COMMUNITY,neondb_owner,YES,reaction_id,fk=1,unique=user/target/reaction,check=2,indexes=4,,reaction_type,YES,YES,2,USER_CONTENT,delete with target/user,0003_growth_community_notifications.sql,B43B8597B71188FAE1B80515210C3AC553B06818BF14506C02B2CB418C4DDE57,COM,
community_reports,Community report queue,COMMUNITY,neondb_owner,NO,report_id,fk=2,unique=open reporter target,check=6,indexes=5,,status,YES,YES,3,AUDIT,moderation retention/legal hold,0003_growth_community_notifications.sql,33F6300E4CEC29CF60408000D29B182EF9049911A2652129FBCD4FD866176550,COM;ADMIN,
daily_budgets,Per-user daily budget ledger,BUDGET,neondb_owner,YES,daily_budget_id,fk=1,unique=user/date,check=5,indexes=4,daily_limit_amount;used_amount;remaining_amount;over_amount,status,YES,YES,1,SENSITIVE_FINANCIAL,financial retention policy pending,0002_payroll_budget_expense.sql,4CCC27FF71FC9F0678F946609C2D441C1C6527C7E2711815E255FB603F9A8559,BUD;FIN,
fixed_expenses,Reserved fixed expense schedule,EXPENSE,neondb_owner,YES,fixed_expense_id,fk=2,unique=0,check=8,indexes=4,amount,status,YES,YES,1,SENSITIVE_FINANCIAL,financial retention policy pending,0002_payroll_budget_expense.sql,02DF83755B53970E6FE63329EC8095E676402E526D11D347C37D9AE98C62C9FA,EXP;FIN,
growth_content_items,LV UP content catalog,LV_UP,neondb_owner,NO,content_id,fk=0,unique=0,check=9,indexes=2,exp_reward,status,YES,NO,2,PUBLIC,content lifecycle retention pending,0012_growth_content_items.sql,C8A1AB4BC948E1BDE9AECB7CAEC26DE75CD3B550C2C805C43DA8E0D91CE05160,LV;ADMIN,
growth_task_completions,Growth task completion and XP event,LV_UP,neondb_owner,YES,completion_id,fk=2,unique=user/task/date completed,check=4,indexes=4,earned_exp,status,YES,YES,1,USER_CONTENT,retain for XP audit pending,0003_growth_community_notifications.sql,3C9B6C93EFCBA34841058CCA9ABE87414C54CC8FEC7BB044810817F05CC99E76,LV,
growth_tasks,Growth task catalog,LV_UP,neondb_owner,NO,growth_task_id,fk=0,unique=type/title/active_from,check=8,indexes=4,exp_reward,status,YES,NO,2,PUBLIC,content lifecycle retention pending,0003_growth_community_notifications.sql,9C1AC05D68D283A6F2C0853D33C5F084546DF8BEC979DC0696372BF72C329D32,LV;ADMIN,
notices,Notice publishing,ADMIN,neondb_owner,NO,notice_id,fk=1,unique=0,check=8,indexes=4,,status,YES,NO,2,PUBLIC,notice archive policy pending,0004_admin_audit_ads.sql,EC5E17028409E2ACB6F4B736BC2CA23126467F69336C1FBFDBC10D3400780D24,ADMIN;WEB,
notification_deliveries,Notification delivery attempt log,NOTIFICATION,neondb_owner,NO,delivery_id,fk=2,unique=0,check=7,indexes=4,,status,YES,NO,2,INTERNAL,delivery retention cleanup required,0003_growth_community_notifications.sql,DD1CD9CC4503DEC08BBD0D2AC94F9BB093C9F548180B8FE203D26561631D0642,NOTI;OPS,
