requirementId,namespace,priority,requirement,implementationPath,apiEndpoint,dbTable,calculationRule,unitTest,integrationTest,stagingRuntime,evidence,status
FIN-001,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-002,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-003,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-004,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-005,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-006,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-007,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-008,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-009,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
FIN-010,FIN,P0,5.  공통 데이터·계산·   서버 권위 규칙,services/api/src/routes/payroll.routes.ts; daily-budgets.routes.ts; variable-expenses.routes.ts; savings.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,"/api/v1/payroll,/api/v1/daily-budgets,/api/v1/variable-expenses,/api/v1/savings","payroll_plans,daily_budgets,fixed_expenses,variable_expenses,savings_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,PHASE_4_PENDING_OR_EXISTING_DOMAIN_TEST,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
PAY-001,PAY,P1,6.2 급여,services/api/src/routes/payroll.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,/api/v1/payroll/*,"payroll_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
PAY-002,PAY,P1,6.2 급여,services/api/src/routes/payroll.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,/api/v1/payroll/*,"payroll_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
PAY-003,PAY,P1,6.2 급여,services/api/src/routes/payroll.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,/api/v1/payroll/*,"payroll_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
PAY-004,PAY,P0,6.2 급여,services/api/src/routes/payroll.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,/api/v1/payroll/*,"payroll_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
PAY-005,PAY,P1,6.2 급여,services/api/src/routes/payroll.routes.ts; services/api/src/repositories/payroll.repository.ts; database/migrations/0017_payroll_cycle_recalculation.sql; database/migrations/0018_variable_expense_refund_column_repair.sql,/api/v1/payroll/*,"payroll_plans,payroll_calculation_snapshots",server-authoritative payroll-v2-cycle-kst where covered by 0017; endpoint lifecycle broader than current evidence,services/api/tests/payroll-db-repository.test.ts; services/api/tests/financial-phase4-payroll-cycle-migration.test.ts,scripts/e2e/financial-staging-core.mjs,PASS_CORE_STAGING_RUNTIME_BROAD_GATES_PENDING,"Phase 4 evidence: payroll repository test stores payday-cycle plans under payroll month; migration 0017 replaces server recalculation with KST payday-cycle boundaries and formula_version payroll-v2-cycle-kst; migration 0018 repairs missing live variable_expenses refund columns required by the recalculation trigger; staging Neon branch br-fragrant-sky-aj5kk2c3 verified helper/function definitions, 25-day cycle boundaries, refund columns, and migration ledger 18/18 VERIFIED_APPLIED. Public staging core financial API E2E passed via scripts/e2e/financial-staging-core.mjs with sanitized evidence in docs/financial/STAGING_FINANCIAL_E2E_EVIDENCE.json. Financial direct-ID matrix, broad concurrency, and finalization/cumulative runtime gates remain pending.",PARTIAL
