requirement_id,source_document,source_location,priority,domain,screen_code,stitch_instance_code,route_or_overlay,user_role,state,acceptance_criteria,implementation_file,API_endpoint,DB_table_or_migration,unit_test,integration_test,E2E_test,visual_reference,visual_test,accessibility_test,staging_evidence,Android_evidence,status,blocker,evidence_path,commit_sha
STITCH-001,stitch_salary_hijacking_design_system_classified.zip,SCR-017-V001__community-state-board-ko,P1,커뮤니티,SCR-017,SCR-017-V001,/community,user,MULTI_STATE,multi_state_board must be implemented as native production route/state/overlay without WebView or PNG background; action=SPLIT_INTO_COMPONENT_STATES,features/community/screens/CommunityScreen.tsx,,,,,,zip:SCR-017-V001__community-state-board-ko/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-002,stitch_salary_hijacking_design_system_classified.zip,SCR-017-V002__community-state-board-en-tabs,P1,커뮤니티,SCR-017,SCR-017-V002,/community,user,MULTI_STATE,multi_state_board must be implemented as native production route/state/overlay without WebView or PNG background; action=SPLIT_INTO_COMPONENT_STATES,features/community/screens/CommunityScreen.tsx,,,,,,zip:SCR-017-V002__community-state-board-en-tabs/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-003,stitch_salary_hijacking_design_system_classified.zip,SCR-017-V003__community-offline-moderation-board,P1,커뮤니티,SCR-017,SCR-017-V003,/community,user,OFFLINE,multi_state_board must be implemented as native production route/state/overlay without WebView or PNG background; action=SPLIT_INTO_COMPONENT_STATES,features/community/screens/CommunityScreen.tsx,,,,,,zip:SCR-017-V003__community-offline-moderation-board/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-004,stitch_salary_hijacking_design_system_classified.zip,SCR-001-V001__brand-loading,P1,진입,SCR-001,SCR-001-V001,/splash,user,LOADING,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,features/app-entry/screens/SplashScreen.tsx,,,,,,zip:SCR-001-V001__brand-loading/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-005,stitch_salary_hijacking_design_system_classified.zip,SCR-030-V001__app-initialization-error,P1,공통,SCR-030,SCR-030-V001,contextual,user,ERROR,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,shared/ui/states/CommonStateScreen.tsx,,,,,,zip:SCR-030-V001__app-initialization-error/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-006,stitch_salary_hijacking_design_system_classified.zip,SCR-011-V001__save-failure,P1,계획,SCR-011,SCR-011-V001,/plan/daily-budget,user,ERROR,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,features/plan/screens/DailyBudgetFormScreen.tsx,,,,,,zip:SCR-011-V001__save-failure/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-007,stitch_salary_hijacking_design_system_classified.zip,SCR-005-V001__budget-overrun-inline,P1,급여,SCR-005,SCR-005-V001,/salary,user,WARNING,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/salary/screens/SalaryHomeScreen.tsx,,,,,,zip:SCR-005-V001__budget-overrun-inline/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-008,stitch_salary_hijacking_design_system_classified.zip,SCR-003-V001__signup-review,P1,인증,SCR-003,SCR-003-V001,/auth/signup,user,REVIEW,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/auth/screens/SignupScreen.tsx,,,,,,zip:SCR-003-V001__signup-review/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-009,stitch_salary_hijacking_design_system_classified.zip,SCR-014-V001__news-mission-flow,P1,레벨업,SCR-014,SCR-014-V001,/lv-up/news,user,FLOW,flow_board must be implemented as native production route/state/overlay without WebView or PNG background; action=SPLIT_INTO_COMPONENT_STATES,features/lv-up/screens/NewsLvUpScreen.tsx,,,,,,zip:SCR-014-V001__news-mission-flow/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-010,stitch_salary_hijacking_design_system_classified.zip,SCR-021-V001__my-page-default,P1,사용자,SCR-021,SCR-021-V001,/my,user,DEFAULT,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/my/screens/MyPageScreen.tsx,,,,,,zip:SCR-021-V001__my-page-default/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-011,stitch_salary_hijacking_design_system_classified.zip,SCR-010-V001__add-goal,P1,계획,SCR-010,SCR-010-V001,/plan/fixed-savings/:fixedSavingId?,user,ADD,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/plan/screens/FixedSavingsFormScreen.tsx,,,,,,zip:SCR-010-V001__add-goal/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-012,stitch_salary_hijacking_design_system_classified.zip,SCR-020-V001__comments-load-error,P1,커뮤니티,SCR-020,SCR-020-V001,/community/posts/:postId/comments,user,ERROR,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,features/community/screens/CommentThreadScreen.tsx,,,,,,zip:SCR-020-V001__comments-load-error/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-013,stitch_salary_hijacking_design_system_classified.zip,SCR-018-V001__post-detail-with-comments,P1,커뮤니티,SCR-018,SCR-018-V001,/community/posts/:postId,user,DEFAULT,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/community/screens/PostDetailScreen.tsx,,,,,,zip:SCR-018-V001__post-detail-with-comments/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-014,stitch_salary_hijacking_design_system_classified.zip,SCR-012-V001__mission-status-board,P1,레벨업,SCR-012,SCR-012-V001,/lv-up,user,MULTI_STATE,multi_state_board must be implemented as native production route/state/overlay without WebView or PNG background; action=SPLIT_INTO_COMPONENT_STATES,features/lv-up/screens/LvUpHomeScreen.tsx,,,,,,zip:SCR-012-V001__mission-status-board/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-015,stitch_salary_hijacking_design_system_classified.zip,SCR-026-V001__inquiry-list,P1,고객지원,SCR-026,SCR-026-V001,/my/inquiries,user,DEFAULT,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/support/screens/InquiryScreen.tsx,,,,,,zip:SCR-026-V001__inquiry-list/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-016,stitch_salary_hijacking_design_system_classified.zip,SCR-015-V001__daily-english-detail,P1,레벨업,SCR-015,SCR-015-V001,/lv-up/english,user,DETAIL,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/lv-up/screens/EnglishLvUpScreen.tsx,,,,,,zip:SCR-015-V001__daily-english-detail/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-017,stitch_salary_hijacking_design_system_classified.zip,SCR-021-V002__performance-partial-error,P1,사용자,SCR-021,SCR-021-V002,/my,user,PARTIAL_ERROR,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/my/screens/MyPageScreen.tsx,,,,,,zip:SCR-021-V002__performance-partial-error/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-018,stitch_salary_hijacking_design_system_classified.zip,SCR-002-V001__password-login,P1,인증,SCR-002,SCR-002-V001,/auth/login,user,DEFAULT,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/auth/screens/LoginScreen.tsx,,,,,,zip:SCR-002-V001__password-login/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-019,stitch_salary_hijacking_design_system_classified.zip,SCR-016-V001__pre-workout-safety-check,P1,레벨업,SCR-016,SCR-016-V001,/lv-up/health,user,CHECK,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/lv-up/screens/HealthLvUpScreen.tsx,,,,,,zip:SCR-016-V001__pre-workout-safety-check/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-020,stitch_salary_hijacking_design_system_classified.zip,SCR-021-V003__offline-performance-preview,P1,사용자,SCR-021,SCR-021-V003,/my,user,OFFLINE,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,features/my/screens/MyPageScreen.tsx,,,,,,zip:SCR-021-V003__offline-performance-preview/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-021,stitch_salary_hijacking_design_system_classified.zip,SCR-006-V001__edit-status-management,P1,지출,SCR-006,SCR-006-V001,/expenses/:expenseId?,user,EDIT,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=IMPLEMENT_AS_SCREEN_VARIANT,features/expenses/screens/ExpenseFormScreen.tsx,,,,,,zip:SCR-006-V001__edit-status-management/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
STITCH-022,stitch_salary_hijacking_design_system_classified.zip,SCR-021-V004__page-load-error,P1,사용자,SCR-021,SCR-021-V004,/my,user,ERROR,screen must be implemented as native production route/state/overlay without WebView or PNG background; action=MERGE_AS_PARENT_SCREEN_STATE,features/my/screens/MyPageScreen.tsx,,,,,,zip:SCR-021-V004__page-load-error/screen.png,,,,,UNVERIFIED,,artifacts/qa/stitch-classified-catalog-summary-20260724.json,bbb7410fbbaeb784b9a4026f65154f94794ac0b4
